id,version,domain,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
b88f1ac8173f,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Muscle,Core,,,,
fa82967f5d3a,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Muscle,Lower Body,,,,
cf4d98c2ebb6,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Fascia,Head/Neck,,,,
388f1416f785,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Fascia,Upper Body,,,,
d4f086bb4a00,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Fascia,Core,,,,
36f71bfce6a9,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Fascia,Lower Body,,,,
88dcd5843ddb,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Tendon,Head/Neck,,,,
b0b596073ab4,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Tendon,Upper Body,,,,
be0c2adc8bb4,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Tendon,Core,,,,
e48c7be3700f,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Tendon,Lower Body,,,,
744d01c78da2,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Ligament,Head/Neck,,,,
ead4f270f286,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Ligament,Upper Body,,,,
208138a76a7c,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Ligament,Core,,,,
8d630c662390,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Ligament,Lower Body,,,,
58e5d75e931a,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Esophagus,Upper,,,
d48573150e9a,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Esophagus,Lower,,,
529edd5a9589,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Stomach,Fundus,,,
9becb217ccf8,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Stomach,Body,,,
2ab673494953,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Stomach,Antrum,,,
ea3b8eec6484,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Liver,Right Lobe,,,
9719be380fca,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Liver,Left Lobe,,,
34c42d74aeec,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Gallbladder,,,,
bcb75af4b16f,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Pancreas,Head,,,
59e1bed37fec,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Pancreas,Body,,,
8275148baea1,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Pancreas,Tail,,,
806d313f9e63,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Small Intestine,Duodenum,,,
4ad147f24cf6,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Small Intestine,Jejunum,,,
6a2abfdfd31d,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Small Intestine,Ileum,,,
b91ae2814c42,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Cecum,,,
bc059a991162,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Ascending Colon,,,
fc4935c8b09e,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Transverse Colon,,,
c3d6aa4bc91a,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Descending Colon,,,
5aae7e13a524,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Sigmoid Colon,,,
7ed3da1e3413,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Digestive System,Large Intestine,Rectum,,,
be0314ae3ff7,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Trachea,,,,
9628385cc33c,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Lungs,Right Lung,,,
9f4a3f77af12,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Lungs,Left Lung,,,
16e6d620152a,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Bronchi,Right,,,
50e1bc643ff8,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Bronchi,Left,,,
651210f3a43a,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Sinuses,Frontal,,,
d8d9a837434c,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Sinuses,Maxillary,,,
b85a8a8bd8ed,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Sinuses,Ethmoid,,,
2bf6a86db405,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Respiratory System,Sinuses,Sphenoid,,,
60de20b8a790,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Cardiovascular System,Heart,Atria,,,
4540894c9949,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Cardiovascular System,Heart,Ventricles,,,
28a576ff95d5,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Cardiovascular System,Vessels,Arteries,,,
eed85854583b,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Cardiovascular System,Vessels,Veins,,,
a37614454163,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Cardiovascular System,Vessels,Capillaries,,,
ca126b69b2ee,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Kidneys,Right Kidney,,,
4bf797e296c1,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Kidneys,Left Kidney,,,
42bbf6a5d858,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Bladder,,,,
83a1ec59fd3e,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Ureters,Right,,,
108c0bd1b6cd,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Ureters,Left,,,
418b6c2dbc80,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Urinary System,Urethra,,,,
fc04da50eee5,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Uterus,,,,
c5d5285e320b,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Ovaries,Right Ovary,,,
a33c67821054,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Ovaries,Left Ovary,,,
da2e871f556e,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Prostate,,,,
1818dc9328c7,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Testes,Right Testis,,,
318af882f646,v1.0,Physical / Biological,Physical / Biological,Structural,Organ Positioning,Reproductive System,Testes,Left Testis,,,
441ddfb856c2,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Protein,Amino Acid Pattern,Essential Amino Acids,,,
10af91320096,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Protein,Amino Acid Pattern,Non-essential Amino Acids,,,
2800e93d477e,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Fats,Fatty Acid Balance,Omega-3,,,
d3eeb3af660f,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Fats,Fatty Acid Balance,Omega-6,,,
5e0b7826270e,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Fats,Omega-3,EPA,,,
1559951b0307,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Fats,Omega-3,DHA,,,
22effae151b5,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Macronutrient Deficiency,Carbohydrates,Blood Sugar Support,Glycemic Instability,,,
9bf7494f20f3,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Magnesium,,,,
d259b50e9557,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Iron,,,,
e9a892d8f5c5,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Zinc,,,,
581188d3a861,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Calcium,,,,
a7a694bac657,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Selenium,,,,
0df4b3b876da,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Iodine,,,,
ab932294d7ba,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Potassium,,,,
c3e47868b6cb,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Sodium,,,,
79bcf6ee74ca,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Copper,,,,
eddcecd34c1a,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Manganese,,,,
f89ad22772eb,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Chromium,,,,
575f1f855d8a,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Minerals,Molybdenum,,,,
3e92dc476017,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Fat-Soluble,Vitamin A,,,
e4152213d30c,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Fat-Soluble,Vitamin D,,,
8cc7d2186a3c,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Fat-Soluble,Vitamin E,,,
0fb123334e1d,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Fat-Soluble,Vitamin K,,,
5b4224c08801,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin C,,,
d7bc5bffb3c6,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B1 (Thiamine),,,
8993b95d76e7,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B2 (Riboflavin),,,
a579f74e4236,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B3 (Niacin),,,
53f9f5101aa4,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B5 (Pantothenic Acid),,,
826de8121640,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B6 (Pyridoxine),,,
12a435a6e2f9,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B7 (Biotin),,,
cb61fb0a6bd1,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B9 (Folate),,,
10d2242a466e,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Micronutrient Deficiency,Vitamins,Water-Soluble,Vitamin B12 (Cobalamin),,,
0ce468ff0209,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Hydration,Hydration Status,Cellular Dehydration,,,,
232996a0b2cd,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Hydration,Electrolyte Balance,Sodium/Potassium Ratio,,,,
3bad45607bf3,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Hydration,Electrolyte Balance,Magnesium Balance,,,,
fae854e22256,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Hydration,Electrolyte Balance,Calcium Balance,,,,
d1d9c34f67df,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Blood Sugar Regulation,Hypoglycemia Pattern,,,,
f5312e0f9c76,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Blood Sugar Regulation,Hyperglycemia Pattern,,,,
74334f03295a,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Hormone Regulation,Thyroid Pattern,,,,
10c34d5b5f1c,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Hormone Regulation,Adrenal / Cortisol Pattern,,,,
617a904e74d6,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Hormone Regulation,Sex Hormone Pattern,,,,
539604548fab,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Inflammation,Acute Inflammation,,,,
539b53728db6,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Metabolic Regulation,Inflammation,Chronic Inflammation,,,,
3392e2962706,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Heavy Metals,Mercury,,,,
6bc9686cc3fe,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Heavy Metals,Lead,,,,
a47829dd63dc,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Heavy Metals,Arsenic,,,,
89a6b07cc44b,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Heavy Metals,Cadmium,,,,
7a27d2c69faf,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Environmental Chemicals,Pesticides,,,,
95a39cf2d80a,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Environmental Chemicals,Plastics / Phthalates,,,,
290d11b5f0c9,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Environmental Chemicals,Solvents / VOCs,,,,
e8f38d9eec6b,v1.0,Physical / Biological,Physical / Biological,Chemical / Nutritional,Toxic Load,Environmental Chemicals,Flame Retardants,,,,
